table,en,fr,ml,pa,hi,pt,es,it
alt,Pipe organ of Saint-Pierre-le-Jeune Protestant Church - Strasbourg,Orgue de l'église protestante Saint-Pierre-le-Jeune - Strasbourg,സാൻ-പിയേർ-ലെ-ഷ്യൂൻ പ്രൊട്ടസ്റ്റന്റ് പള്ളിയിലെ പൈപ്പ് ഓർഗൻ - സ്ട്രാസ്ബൂർഗ്,ਸੈਂ-ਪੀਅਰ-ਲੇ-ਜਨ ਪ੍ਰੋਟੈਸਟੈਂਟ ਗਿਰਜਾਘਰ ਦਾ ਪਾਈਪ ਆਰਗਨ - ਸਟ੍ਰਾਸਬੁਰਗ,सैं-पियर-ले-जन प्रोटेस्टेंट गिरजाघर का पाइप ऑर्गन - स्ट्रासबुर्ग,Órgão de tubos da Igreja Protestante Saint-Pierre-le-Jeune - Estrasburgo,Órgano de tubos de la Iglesia Protestante Saint-Pierre-le-Jeune - Estrasburgo,Organo a canne della Chiesa Protestante Saint-Pierre-le-Jeune - Strasburgo
alt,Pisa Cathedral,Cathédrale de Pise,പിസ കത്തീഡ്രൽ,ਪੀਸਾ ਕੈਥੇਡ੍ਰਲ,पीसा कैथेड्रल,Catedral de Pisa,Catedral de Pisa,Duomo di Pisa
alt,Pisa Cathedral Detail,Détail de la cathédrale de Pise,പിസ കത്തീഡ്രലിന്റെ വിശദാംശം,ਪੀਸਾ ਕੈਥੇਡ੍ਰਲ ਦਾ ਵੇਰਵਾ,पीसा कैथेड्रल का विवरण,Detalhe da Catedral de Pisa,Detalle de la Catedral de Pisa,Dettaglio del Duomo di Pisa
alt,Place du Marché aux Légumes (Saint-Malo),Place du Marché aux Légumes (Saint-Malo),പ്ലാസ് ദ്യൂ മാർഷെ ഓ ലെഗ്യൂം (സാൻ-മാലോ),ਪਲਾਸ ਦਯੂ ਮਾਰਸ਼ੇ ਓ ਲੇਗਯੂਮ (ਸੈਂ-ਮਾਲੋ),प्लास दयू मार्शे ओ लेग्यूम (सैं-मालो),Praça do Mercado de Legumes (Saint-Malo),Plaza del Mercado de Verduras (Saint-Malo),Piazza del Mercato delle Verdure (Saint-Malo)
alt,"Pont-Vieux (Carcassonne, Aude)","Pont-Vieux (Carcassonne, Aude)","പോൻ-വ്യൂ (കാർകസോൺ, ഓദ്)","ਪੋਂ-ਵਿਯੂ (ਕਾਰਕਾਸੋਨ, ਔਦ)","पों-व्यू (कारकासोन, औद)","Pont-Vieux (Carcassonne, Aude)","Pont-Vieux (Carcasona, Aude)","Pont-Vieux (Carcassonne, Aude)"
alt,Portal in Stary Sącz,Portail à Stary Sącz,സ്റ്റാരി-സോഞ്ചിലെ കവാടം,ਸਟਾਰੀ-ਸੋਂਚ ਵਿੱਚ ਦਵਾਰ,स्तारी-सॉन्च में प्रवेशद्वार,Portal em Stary Sącz,Portal en Stary Sącz,Portale a Stary Sącz
alt,"Portal of église Saint-Merri, Paris","Portail de l'église Saint-Merri, Paris","സാൻ-മെറി പള്ളിയുടെ കവാടം, പാരിസ്","ਸੈਂ-ਮੈਰੀ ਗਿਰਜਾਘਰ ਦਾ ਦਵਾਰ, ਪੈਰਿਸ","सैं-मेरी गिरजाघर का प्रवेशद्वार, पेरिस","Portal da Igreja de Saint-Merri, Paris","Portal de la Iglesia de Saint-Merri, París","Portale della Chiesa di Saint-Merri, Parigi"
alt,Porte Cailhau,Porte Cailhau,പോർട്ട് കായൂ,ਪੋਰਟ ਕਾਯੂ,पोर्त काइयू,Porte Cailhau,Porte Cailhau,Porte Cailhau
alt,"Porte Mordelaise, Rennes","Porte Mordelaise, Rennes","പോർട്ട് മോർദെലെസ്, റെന്ന","ਪੋਰਟ ਮੋਰਦੇਲੇਜ਼, ਰੇਨ","पोर्त मोर्देलेज़, रेन","Porte Mordelaise, Rennes","Porte Mordelaise, Rennes","Porte Mordelaise, Rennes"
alt,Porte Saint-Vincent (Saint-Malo),Porte Saint-Vincent (Saint-Malo),പോർട്ട് സാൻ-വാൻസാൻ (സാൻ-മാലോ),ਪੋਰਟ ਸੈਂ-ਵੈਂਸਾਂ (ਸੈਂ-ਮਾਲੋ),पोर्त सैं-वांसां (सैं-मालो),Porte Saint-Vincent (Saint-Malo),Porte Saint-Vincent (Saint-Malo),Porte Saint-Vincent (Saint-Malo)
alt,Prison Saint-Michel (Rennes),Prison Saint-Michel (Rennes),സാൻ-മിഷേൽ ജയിൽ (റെന്ന),ਸੈਂ-ਮੀਸ਼ੇਲ ਜੇਲ੍ਹ (ਰੇਨ),सैं-मिशेल जेल (रेन),Prisão Saint-Michel (Rennes),Prisión Saint-Michel (Rennes),Prigione Saint-Michel (Rennes)
alt,Pulpit of Église Saint-Merri,Chaire de l'église Saint-Merri,സാൻ-മെറി പള്ളിയുടെ പ്രസംഗപീഠം,ਸੈਂ-ਮੈਰੀ ਗਿਰਜਾਘਰ ਦਾ ਪ੍ਰਚਾਰ-ਮੰਚ,सैं-मेरी गिरजाघर का उपदेशमंच,Púlpito da Igreja de Saint-Merri,Púlpito de la Iglesia de Saint-Merri,Pulpito della Chiesa di Saint-Merri
alt,Pérouges,Pérouges,പേരൂജ്,ਪੇਰੂਜ,पेरूज,Pérouges,Pérouges,Pérouges
alt,Red flowers in Bilbao,Fleurs rouges à Bilbao,ബിൽബാവോയിലെ ചുവന്ന പൂക്കൾ,ਬਿਲਬਾਓ ਵਿੱਚ ਲਾਲ ਫੁੱਲ,बिलबाओ में लाल फूल,Flores vermelhas em Bilbao,Flores rojas en Bilbao,Fiori rossi a Bilbao
alt,"Reflection of building of Polish National Radio Symphony Orchestra, Katowice","Reflet du bâtiment de l'Orchestre symphonique national de la radio polonaise, Katowice","പോളിഷ് നാഷണൽ റേഡിയോ സിംഫണി ഓർക്കസ്ട്രയുടെ കെട്ടിടത്തിന്റെ പ്രതിഫലനം, കാറ്റോവിസ്","ਪੋਲਿਸ਼ ਨੈਸ਼ਨਲ ਰੇਡੀਓ ਸਿੰਫਨੀ ਆਰਕੈਸਟਰਾ ਦੀ ਇਮਾਰਤ ਦਾ ਪ੍ਰਤੀਬਿੰਬ, ਕਾਤੋਵੀਤਸੇ","पोलिश नेशनल रेडियो सिम्फनी ऑर्केस्ट्रा की इमारत का प्रतिबिंब, कातोवित्से","Reflexo do edifício da Orquestra Sinfónica Nacional da Rádio Polaca, Katowice","Reflejo del edificio de la Orquesta Sinfónica Nacional de la Radio Polaca, Katowice","Riflesso dell'edificio dell'Orchestra Sinfonica Nazionale della Radio Polacca, Katowice"
alt,Remote view of Mont Saint-Michel Abbey in the morning,Vue lointaine de l'abbaye du Mont Saint-Michel le matin,രാവിലെ മോൺ-സാൻ-മിഷേൽ ആശ്രമത്തിന്റെ ദൂരദൃശ്യം,ਸਵੇਰੇ ਮੋਂ-ਸਾਂ-ਮੀਸ਼ੇਲ ਦੇ ਮੱਠ ਦਾ ਦੂਰ ਦ੍ਰਿਸ਼,सुबह मों-सां-मिशेल मठ का दूर दृश्य,Vista distante da Abadia do Monte Saint-Michel pela manhã,Vista lejana de la Abadía del Monte Saint-Michel por la mañana,Veduta lontana dell'Abbazia di Mont Saint-Michel al mattino
alt,"Remote view of Santa Giustina, Padua","Vue lointaine de Santa Giustina, Padoue","സാന്താ ജ്യൂസ്റ്റീനയുടെ ദൂരദൃശ്യം, പാദുവ","ਸਾਂਤਾ ਜੂਸਤੀਨਾ ਦਾ ਦੂਰ ਦ੍ਰਿਸ਼, ਪਾਦੂਆ","सांता जुस्तीना का दूर दृश्य, पादुआ","Vista distante de Santa Giustina, Pádua","Vista lejana de Santa Giustina, Padua","Veduta lontana di Santa Giustina, Padova"
alt,"Riverside façade of Palais Rohan, Strasbourg","Façade côté rivière du Palais Rohan, Strasbourg","പാലെ റോഹാന്റെ നദീതീര മുൻഭാഗം, സ്ട്രാസ്ബൂർഗ്","ਪਾਲੇ ਰੋਹਾਂ ਦਾ ਨਦੀ-ਕੰਢੇ ਵਾਲਾ ਅਗਲਾ ਹਿੱਸਾ, ਸਟ੍ਰਾਸਬੁਰਗ","पाले रोहां का नदी किनारे वाला अग्रभाग, स्ट्रासबुर्ग","Fachada ribeirinha do Palais Rohan, Estrasburgo","Fachada junto al río del Palais Rohan, Estrasburgo","Facciata sul fiume del Palais Rohan, Strasburgo"
alt,Saint Austremoine Church Facade Issoire,"Façade de l'église Saint-Austremoine, Issoire","സെന്റ് ഓസ്ട്രെമൊയ്ൻ പള്ളിയുടെ മുൻഭാഗം, ഇസ്വാർ","ਸੇਂਟ ਆਸਤ੍ਰੇਮੋਇਨ ਗਿਰਜਾਘਰ ਦਾ ਅਗਲਾ ਹਿੱਸਾ, ਇਸਵਾਰ","सेंट ऑस्त्रेमोइन गिरजाघर का अग्रभाग, इस्वार","Fachada da Igreja de Saint-Austremoine, Issoire","Fachada de la Iglesia de Saint-Austremoine, Issoire","Facciata della Chiesa di Saint-Austremoine, Issoire"
alt,Saint Austremoine Church Interior Issoire,"Intérieur de l'église Saint-Austremoine, Issoire","സെന്റ് ഓസ്ട്രെമൊയ്ൻ പള്ളിയുടെ അകംഭാഗം, ഇസ്വാർ","ਸੇਂਟ ਆਸਤ੍ਰੇਮੋਇਨ ਗਿਰਜਾਘਰ ਦਾ ਅੰਦਰੂਨੀ ਹਿੱਸਾ, ਇਸਵਾਰ","सेंट ऑस्त्रेमोइन गिरजाघर का भीतरी भाग, इस्वार","Interior da Igreja de Saint-Austremoine, Issoire","Interior de la Iglesia de Saint-Austremoine, Issoire","Interno della Chiesa di Saint-Austremoine, Issoire"
alt,Saint Austremoine Church Issoire,"Église Saint-Austremoine, Issoire","സെന്റ് ഓസ്ട്രെമൊയ്ൻ പള്ളി, ഇസ്വാർ","ਸੇਂਟ ਆਸਤ੍ਰੇਮੋਇਨ ਗਿਰਜਾਘਰ, ਇਸਵਾਰ","सेंट ऑस्त्रेमोइन गिरजाघर, इस्वार","Igreja de Saint-Austremoine, Issoire","Iglesia de Saint-Austremoine, Issoire","Chiesa di Saint-Austremoine, Issoire"
alt,Sainte-Croix church of Lyon,Église Sainte-Croix de Lyon,ലിയോണിലെ സാന്ത്-ക്ര്വ പള്ളി,ਲਿਓਂ ਦਾ ਸੈਂਤ-ਕ੍ਰੂਆ ਗਿਰਜਾਘਰ,ल्यों का सैंत-क्रूआ गिरजाघर,Igreja de Sainte-Croix de Lyon,Iglesia de Sainte-Croix de Lyon,Chiesa di Sainte-Croix a Lione
alt,Sanctuary of Our Lady of Lourdes,Sanctuaire Notre-Dame de Lourdes,ലൂർദിലെ പരിശുദ്ധ കന്യാമറിയത്തിന്റെ തീർത്ഥകേന്ദ്രം,ਲੂਰਦ ਦੀ ਮਾਤਾ ਮਰੀਅਮ ਦਾ ਤੀਰਥ ਅਸਥਾਨ,लूर्द की देवी मरियम का तीर्थस्थल,Santuário de Nossa Senhora de Lourdes,Santuario de Nuestra Señora de Lourdes,Santuario di Nostra Signora di Lourdes
alt,"Silbermann pipe organ of Église Saint-Thomas, Strasbourg","Orgue Silbermann de l'église Saint-Thomas, Strasbourg","സാൻ-തോമ പള്ളിയിലെ സിൽബർമാൻ പൈപ്പ് ഓർഗൻ, സ്ട്രാസ്ബൂർഗ്","ਸੈਂ-ਤੋਮਾ ਗਿਰਜਾਘਰ ਦਾ ਸਿਲਬਰਮਾਨ ਪਾਈਪ ਆਰਗਨ, ਸਟ੍ਰਾਸਬੁਰਗ","सैं-तोमा गिरजाघर का सिल्बरमान पाइप ऑर्गन, स्ट्रासबुर्ग","Órgão de tubos Silbermann da Igreja de Saint-Thomas, Estrasburgo","Órgano de tubos Silbermann de la Iglesia de Saint-Thomas, Estrasburgo","Organo a canne Silbermann della Chiesa di Saint-Thomas, Strasburgo"
alt,"Skyscrapers, Katowice","Gratte-ciel, Katowice","അംബരചുംബികൾ, കാറ്റോവിസ്","ਅਸਮਾਨ-ਛੂਹ ਇਮਾਰਤਾਂ, ਕਾਤੋਵੀਤਸੇ","गगनचुंबी इमारतें, कातोवित्से","Arranha-céus, Katowice","Rascacielos, Katowice","Grattacieli, Katowice"
alt,Snow in Montjuzet park,Neige dans le parc de Montjuzet,മൊൻഷ്യൂസെ പാർക്കിലെ മഞ്ഞ്,ਮੋਂਜ਼ੂਜ਼ੇ ਪਾਰਕ ਵਿੱਚ ਬਰਫ਼,मोंजूज़े पार्क में बर्फ़,Neve no parque de Montjuzet,Nieve en el parque de Montjuzet,Neve nel parco di Montjuzet
alt,South portal of Notre-Dame du Port,Portail sud de Notre-Dame du Port,നോത്ര്-ദാം ദ്യൂ പോറിന്റെ തെക്കേ കവാടം,ਨੋਤ੍ਰ-ਦਾਮ ਦਯੂ ਪੋਰ ਦਾ ਦੱਖਣੀ ਦਵਾਰ,नोत्र-दाम दयू पोर का दक्षिणी प्रवेशद्वार,Portal sul de Notre-Dame du Port,Portal sur de Notre-Dame du Port,Portale sud di Notre-Dame du Port
alt,Stained glass windows of the Basilique Saint-Nazaire de Carcassonne,Vitraux de la basilique Saint-Nazaire de Carcassonne,കാർകസോണിലെ സാൻ-നസേർ ബസിലിക്കയുടെ സ്റ്റെയിൻഡ് ഗ്ലാസ് ജനാലകൾ,ਕਾਰਕਾਸੋਨ ਦੀ ਸੈਂ-ਨਜ਼ੇਰ ਬੈਸਿਲਿਕਾ ਦੀਆਂ ਰੰਗਦਾਰ ਕੱਚ ਦੀਆਂ ਖਿੜਕੀਆਂ,कारकासोन की सैं-नजेर बेसिलिका की रंगीन काँच की खिड़कियाँ,Vitrais da Basílica de Saint-Nazaire de Carcassonne,Vidrieras de la Basílica de Saint-Nazaire de Carcasona,Vetrate della Basilica di Saint-Nazaire a Carcassonne
alt,Station of Stary Sącz,Gare de Stary Sącz,സ്റ്റാരി-സോഞ്ചിലെ സ്റ്റേഷൻ,ਸਟਾਰੀ-ਸੋਂਚ ਦਾ ਸਟੇਸ਼ਨ,स्तारी-सॉन्च का स्टेशन,Estação de Stary Sącz,Estación de Stary Sącz,Stazione di Stary Sącz
alt,Statue in Tibidabo,Statue au Tibidabo,തിബിദാബോയിലെ പ്രതിമ,ਤਿਬਿਦਾਬੋ ਵਿੱਚ ਮੂਰਤੀ,तिबिदाबो में प्रतिमा,Estátua no Tibidabo,Estatua en el Tibidabo,Statua al Tibidabo
alt,Statue of Giuseppe Verdi in Bilbao,Statue de Giuseppe Verdi à Bilbao,ബിൽബാവോയിലെ ജ്യൂസെപ്പെ വെർദിയുടെ പ്രതിമ,ਬਿਲਬਾਓ ਵਿੱਚ ਜੂਜ਼ੈੱਪੇ ਵਰਦੀ ਦੀ ਮੂਰਤੀ,बिलबाओ में ज्यूसेप्पे वर्दी की प्रतिमा,Estátua de Giuseppe Verdi em Bilbao,Estatua de Giuseppe Verdi en Bilbao,Statua di Giuseppe Verdi a Bilbao
alt,"Statue of man playing guitar, Katowice","Statue d'un homme jouant de la guitare, Katowice","ഗിറ്റാർ വായിക്കുന്ന മനുഷ്യന്റെ പ്രതിമ, കാറ്റോവിസ്","ਗਿਟਾਰ ਵਜਾਉਂਦੇ ਆਦਮੀ ਦੀ ਮੂਰਤੀ, ਕਾਤੋਵੀਤਸੇ","गिटार बजाते आदमी की प्रतिमा, कातोवित्से","Estátua de homem tocando guitarra, Katowice","Estatua de hombre tocando la guitarra, Katowice","Statua di un uomo che suona la chitarra, Katowice"
alt,Street benches in Katowice,Bancs publics à Katowice,കാറ്റോവിസിലെ തെരുവ് ബെഞ്ചുകൾ,ਕਾਤੋਵੀਤਸੇ ਵਿੱਚ ਗਲੀ ਦੇ ਬੈਂਚ,कातोवित्से में सड़क की बेंचें,Bancos de rua em Katowice,Bancos de calle en Katowice,Panchine di strada a Katowice
alt,Street light Stockholm,"Lampadaire, Stockholm","തെരുവുവിളക്ക്, സ്റ്റോക്ക്ഹോം","ਗਲੀ ਦੀ ਰੋਸ਼ਨੀ, ਸਟਾਕਹੋਮ","सड़क की बत्ती, स्टॉकहोम","Candeeiro de rua, Estocolmo","Farola, Estocolmo","Lampione, Stoccolma"
alt,Street light in Bilbao,Lampadaire à Bilbao,ബിൽബാവോയിലെ തെരുവുവിളക്ക്,ਬਿਲਬਾਓ ਵਿੱਚ ਗਲੀ ਦੀ ਰੋਸ਼ਨੀ,बिलबाओ में सड़क की बत्ती,Candeeiro de rua em Bilbao,Farola en Bilbao,Lampione a Bilbao
alt,Street light in Granada,Lampadaire à Grenade,ഗ്രനാഡയിലെ തെരുവുവിളക്ക്,ਗ੍ਰਾਨਾਦਾ ਵਿੱਚ ਗਲੀ ਦੀ ਰੋਸ਼ਨੀ,ग्रानादा में सड़क की बत्ती,Candeeiro de rua em Granada,Farola en Granada,Lampione a Granada
alt,Street light in Nowy Sącz,Lampadaire à Nowy Sącz,നോവി-സോഞ്ചിലെ തെരുവുവിളക്ക്,ਨੋਵੀ-ਸੋਂਚ ਵਿੱਚ ਗਲੀ ਦੀ ਰੋਸ਼ਨੀ,नोवी-सॉन्च में सड़क की बत्ती,Candeeiro de rua em Nowy Sącz,Farola en Nowy Sącz,Lampione a Nowy Sącz
alt,Street light in Stary Sącz,Lampadaire à Stary Sącz,സ്റ്റാരി-സോഞ്ചിലെ തെരുവുവിളക്ക്,ਸਟਾਰੀ-ਸੋਂਚ ਵਿੱਚ ਗਲੀ ਦੀ ਰੋਸ਼ਨੀ,स्तारी-सॉन्च में सड़क की बत्ती,Candeeiro de rua em Stary Sącz,Farola en Stary Sącz,Lampione a Stary Sącz
alt,Street light in Turin,Lampadaire à Turin,ടൂറിനിലെ തെരുവുവിളക്ക്,ਟੂਰਿਨ ਵਿੱਚ ਗਲੀ ਦੀ ਰੋਸ਼ਨੀ,तूरिन में सड़क की बत्ती,Candeeiro de rua em Turim,Farola en Turín,Lampione a Torino
alt,Street light in Vaise,Lampadaire à Vaise,വെയ്‌സിലെ തെരുവുവിളക്ക്,ਵੇਜ਼ ਵਿੱਚ ਗਲੀ ਦੀ ਰੋਸ਼ਨੀ,वेज़ में सड़क की बत्ती,Candeeiro de rua em Vaise,Farola en Vaise,Lampione a Vaise
alt,Street light of Abbey of Mont Saint-Michel,Lampadaire de l'abbaye du Mont Saint-Michel,മോൺ-സാൻ-മിഷേൽ ആശ്രമത്തിലെ തെരുവുവിളക്ക്,ਮੋਂ-ਸਾਂ-ਮੀਸ਼ੇਲ ਦੇ ਮੱਠ ਦੀ ਗਲੀ ਦੀ ਰੋਸ਼ਨੀ,मों-सां-मिशेल के मठ की सड़क की बत्ती,Candeeiro de rua da Abadia do Monte Saint-Michel,Farola de la Abadía del Monte Saint-Michel,Lampione dell'Abbazia di Mont Saint-Michel
alt,Street lights detail Bologna,"Détail des lampadaires, Bologne","തെരുവുവിളക്കുകളുടെ വിശദാംശം, ബൊലോഞ്ഞ","ਗਲੀ ਦੀਆਂ ਰੋਸ਼ਨੀਆਂ ਦਾ ਵੇਰਵਾ, ਬੋਲੋਨਿਆ","सड़क की बत्तियों का विवरण, बोलोन्या","Detalhe dos candeeiros de rua, Bolonha","Detalle de las farolas, Bolonia","Dettaglio dei lampioni, Bologna"
alt,Street lights in Bologna,Lampadaires à Bologne,ബൊലോഞ്ഞയിലെ തെരുവുവിളക്കുകൾ,ਬੋਲੋਨਿਆ ਵਿੱਚ ਗਲੀ ਦੀਆਂ ਰੋਸ਼ਨੀਆਂ,बोलोन्या में सड़क की बत्तियाँ,Candeeiros de rua em Bolonha,Farolas en Bolonia,Lampioni a Bologna
alt,Street lights in Nantes,Lampadaires à Nantes,നാന്തിലെ തെരുവുവിളക്കുകൾ,ਨਾਂਤ ਵਿੱਚ ਗਲੀ ਦੀਆਂ ਰੋਸ਼ਨੀਆਂ,नांत में सड़क की बत्तियाँ,Candeeiros de rua em Nantes,Farolas en Nantes,Lampioni a Nantes
alt,Street view in Carcassonne,Vue de rue à Carcassonne,കാർകസോണിലെ തെരുവ് ദൃശ്യം,ਕਾਰਕਾਸੋਨ ਵਿੱਚ ਗਲੀ ਦਾ ਦ੍ਰਿਸ਼,कारकासोन में सड़क का दृश्य,Vista de rua em Carcassonne,Vista de calle en Carcasona,Vista della strada a Carcassonne
alt,Sunset and reflection of clouds in Venice,Coucher de soleil et reflet des nuages à Venise,വെനീസിലെ സൂര്യാസ്തമയവും മേഘങ്ങളുടെ പ്രതിഫലനവും,ਵੇਨਿਸ ਵਿੱਚ ਸੂਰਜ ਡੁੱਬਣਾ ਅਤੇ ਬੱਦਲਾਂ ਦਾ ਪ੍ਰਤੀਬਿੰਬ,वेनिस में सूर्यास्त और बादलों का प्रतिबिंब,Pôr do sol e reflexo das nuvens em Veneza,Atardecer y reflejo de las nubes en Venecia,Tramonto e riflesso delle nuvole a Venezia
alt,Sunset viewed at Mons,Coucher de soleil vu à Mons,മോൺസിൽ കണ്ട സൂര്യാസ്തമയം,ਮੋਂਸ ਵਿੱਚ ਦੇਖਿਆ ਸੂਰਜ ਡੁੱਬਣਾ,मॉन्स में देखा गया सूर्यास्त,Pôr do sol visto em Mons,Atardecer visto en Mons,Tramonto visto a Mons
alt,"Sunset, Le Grand Crohot","Coucher de soleil, Le Grand Crohot","സൂര്യാസ്തമയം, ലെ ഗ്രാൻ ക്രോവോ","ਸੂਰਜ ਡੁੱਬਣਾ, ਲੇ ਗ੍ਰਾਂ ਕ੍ਰੋਓ","सूर्यास्त, ले ग्रां क्रोओ","Pôr do sol, Le Grand Crohot","Atardecer, Le Grand Crohot","Tramonto, Le Grand Crohot"
alt,"Sunset, Pic-Saint-Loup","Coucher de soleil, Pic-Saint-Loup","സൂര്യാസ്തമയം, പിക്-സാൻ-ലൂ","ਸੂਰਜ ਡੁੱਬਣਾ, ਪਿਕ-ਸੈਂ-ਲੂ","सूर्यास्त, पिक-सैं-लू","Pôr do sol, Pic-Saint-Loup","Atardecer, Pic-Saint-Loup","Tramonto, Pic-Saint-Loup"
alt,"Sunset, Plage du Môle (Saint-Malo)","Coucher de soleil, Plage du Môle (Saint-Malo)","സൂര്യാസ്തമയം, പ്ലാഷ് ദ്യൂ മോൾ (സാൻ-മാലോ)","ਸੂਰਜ ਡੁੱਬਣਾ, ਪਲਾਜ ਦਯੂ ਮੋਲ (ਸੈਂ-ਮਾਲੋ)","सूर्यास्त, प्लाज दयू मोल (सैं-मालो)","Pôr do sol, Plage du Môle (Saint-Malo)","Atardecer, Plage du Môle (Saint-Malo)","Tramonto, Plage du Môle (Saint-Malo)"
alt,Temple of Hephaestus Athens,"Temple d'Héphaïstos, Athènes","ഹെഫെസ്റ്റസ് ക്ഷേത്രം, ഏഥൻസ്","ਹੇਫੈਸਟਸ ਦਾ ਮੰਦਰ, ਏਥਨਜ਼","हेफ़ेस्तस का मंदिर, एथेंस","Templo de Hefesto, Atenas","Templo de Hefesto, Atenas","Tempio di Efesto, Atene"
alt,Tree in Autumn in Mons at Sunset,Arbre en automne à Mons au coucher du soleil,സൂര്യാസ്തമയത്തിൽ മോൺസിലെ ശരത്കാല വൃക്ഷം,ਸੂਰਜ ਡੁੱਬਣ ਵੇਲੇ ਮੋਂਸ ਵਿੱਚ ਪਤਝੜ ਦਾ ਰੁੱਖ,सूर्यास्त के समय मॉन्स में शरद ऋतु का पेड़,Árvore no outono em Mons ao pôr do sol,Árbol en otoño en Mons al atardecer,Albero in autunno a Mons al tramonto
alt,Trees in Mont Saint-Michel in Winter (December),Arbres au Mont Saint-Michel en hiver (décembre),ശൈത്യകാലത്ത് മോൺ-സാൻ-മിഷേലിലെ വൃക്ഷങ്ങൾ (ഡിസംബർ),ਸਰਦੀਆਂ ਵਿੱਚ ਮੋਂ-ਸਾਂ-ਮੀਸ਼ੇਲ ਦੇ ਰੁੱਖ (ਦਸੰਬਰ),सर्दियों में मों-सां-मिशेल के पेड़ (दिसंबर),Árvores no Monte Saint-Michel no inverno (dezembro),Árboles en el Monte Saint-Michel en invierno (diciembre),Alberi a Mont Saint-Michel in inverno (dicembre)
alt,"Trees, Lempdes, Auvergne","Arbres, Lempdes, Auvergne","വൃക്ഷങ്ങൾ, ലെംപ്‌ദ്, ഓവേർഞ്","ਰੁੱਖ, ਲਾਂਪਦ, ਓਵੇਰਞ","वृक्ष, लांप्द, ओवेर्ञ","Árvores, Lempdes, Auvergne","Árboles, Lempdes, Auvernia","Alberi, Lempdes, Alvernia"
alt,"Twilight, Plage du Môle (Saint-Malo)","Crépuscule, Plage du Môle (Saint-Malo)","സന്ധ്യ, പ്ലാഷ് ദ്യൂ മോൾ (സാൻ-മാലോ)","ਸ਼ਾਮ ਦਾ ਘੁਸਮੁਸਾ, ਪਲਾਜ ਦਯੂ ਮੋਲ (ਸੈਂ-ਮਾਲੋ)","गोधूलि, प्लाज दयू मोल (सैं-मालो)","Crepúsculo, Plage du Môle (Saint-Malo)","Crepúsculo, Plage du Môle (Saint-Malo)","Crepuscolo, Plage du Môle (Saint-Malo)"
alt,Tympanum of the central portal of the western facade of Notre-Dame de Strasbourg,Tympan du portail central de la façade occidentale de Notre-Dame de Strasbourg,നോത്ര്-ദാം ദെ സ്ട്രാസ്ബൂർഗിന്റെ പടിഞ്ഞാറൻ മുൻഭാഗത്തെ കേന്ദ്ര കവാടത്തിന്റെ ടിംപനം,ਨੋਤ੍ਰ-ਦਾਮ ਦੇ ਸਟ੍ਰਾਸਬੁਰਗ ਦੇ ਪੱਛਮੀ ਅਗਲੇ ਹਿੱਸੇ ਦੇ ਕੇਂਦਰੀ ਦਵਾਰ ਦਾ ਟਿੰਪਨਮ,नोत्र-दाम दे स्ट्रासबुर्ग के पश्चिमी अग्रभाग के केंद्रीय प्रवेशद्वार का टिम्पैनम,Tímpano do portal central da fachada ocidental de Notre-Dame de Estrasburgo,Tímpano del portal central de la fachada occidental de Notre-Dame de Estrasburgo,Timpano del portale centrale della facciata occidentale di Notre-Dame di Strasburgo
alt,"Victoire de Samothrace, Montpellier","Victoire de Samothrace, Montpellier","വിക്ത്വാർ ദെ സമോത്രാസ്, മോംപെലിയേ","ਵਿਕਤੁਆਰ ਦੇ ਸਮੋਤ੍ਰਾਸ, ਮੋਂਪੇਲੀਏ","विकत्वार दे समोत्रास, मोंपेलिये","Vitória de Samotrácia, Montpellier","Victoria de Samotracia, Montpellier","Vittoria di Samotracia, Montpellier"
alt,View of Château de Châteauvieux from Lake Annecy,Vue du Château de Châteauvieux depuis le lac d'Annecy,ആനസി തടാകത്തിൽ നിന്നുള്ള ഷാറ്റോ ദെ ഷാറ്റോവ്യൂവിന്റെ ദൃശ്യം,ਐਨੇਸੀ ਝੀਲ ਤੋਂ ਸ਼ਾਤੋ ਦੇ ਸ਼ਾਤੋਵੀਯੂ ਦਾ ਦ੍ਰਿਸ਼,एनेसी झील से शातो दे शातोव्यू का दृश्य,Vista do Château de Châteauvieux a partir do Lago de Annecy,Vista del Château de Châteauvieux desde el lago de Annecy,Veduta del Château de Châteauvieux dal Lago di Annecy
alt,View of John Paul II Altar in Stary Sącz,Vue de l'autel Jean-Paul II à Stary Sącz,സ്റ്റാരി-സോഞ്ചിലെ ജോൺ പോൾ രണ്ടാമൻ അൾത്താരയുടെ ദൃശ്യം,ਸਟਾਰੀ-ਸੋਂਚ ਵਿੱਚ ਜੌਨ ਪੌਲ ਦੂਜੇ ਦੀ ਵੇਦੀ ਦਾ ਦ੍ਰਿਸ਼,स्तारी-सॉन्च में जॉन पॉल द्वितीय की वेदी का दृश्य,Vista do altar de João Paulo II em Stary Sącz,Vista del altar de Juan Pablo II en Stary Sącz,Veduta dell'altare di Giovanni Paolo II a Stary Sącz
alt,View of Nowy Sącz,Vue de Nowy Sącz,നോവി-സോഞ്ചിന്റെ ദൃശ്യം,ਨੋਵੀ-ਸੋਂਚ ਦਾ ਦ੍ਰਿਸ਼,नोवी-सॉन्च का दृश्य,Vista de Nowy Sącz,Vista de Nowy Sącz,Veduta di Nowy Sącz
